parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
26153190,"Tuna, fresh, smoked",15201,"Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat",100
42106000,"Coconut, fresh",12104,"Nuts, coconut meat, raw",100
61201010,"Grapefruit juice, 100%, freshly squeezed",9128,"Grapefruit juice, white, raw",100
61204010,"Lemon juice, 100%, freshly squeezed",9152,"Lemon juice, raw",100
61207010,"Lime juice, 100%, freshly squeezed",9160,"Lime juice, raw",100
61210010,"Orange juice, 100%,  freshly squeezed",9206,"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",100
63311000,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9003,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",62.5
63311000,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9040,"Bananas, raw",75
63311000,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9132,"Grapes, red or green (European type, such as Thompson seedless), raw",46
63311000,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9181,"Melons, cantaloupe, raw",39
63311000,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9316,"Strawberries, raw",76
63311000,"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9326,"Watermelon, raw",38
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9003,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",62.5
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9040,"Bananas, raw",75
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9132,"Grapes, red or green (European type, such as Thompson seedless), raw",46
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9181,"Melons, cantaloupe, raw",39
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9200,"Oranges, raw, all commercial varieties",90
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9316,"Strawberries, raw",76
63311050,"Fruit salad, fresh or raw, including citrus fruits, no dressing",9326,"Watermelon, raw",38
71103000,"Potato, boiled, from fresh, peel not eaten, NS as to fat",2047,"Salt, table, iodized",0.4
71103000,"Potato, boiled, from fresh, peel not eaten, NS as to fat",4321,"Oil, table fat, averaged",5
71103000,"Potato, boiled, from fresh, peel not eaten, NS as to fat",11363,"Potatoes, baked, flesh, without salt",100
71103010,"Potato, boiled, from fresh, peel not eaten, no added fat",2047,"Salt, table, iodized",0.4
71103010,"Potato, boiled, from fresh, peel not eaten, no added fat",11363,"Potatoes, baked, flesh, without salt",100
71103020,"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",2047,"Salt, table, iodized",0.4
71103020,"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",4321,"Oil, table fat, averaged",5
71103020,"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",11363,"Potatoes, baked, flesh, without salt",100
71103030,"Potato, boiled, from fresh, peel not eaten, made with oil",2047,"Salt, table, iodized",0.4
71103030,"Potato, boiled, from fresh, peel not eaten, made with oil",4322,"Vegetable oil, averaged",5
71103030,"Potato, boiled, from fresh, peel not eaten, made with oil",11363,"Potatoes, baked, flesh, without salt",100
71103040,"Potato, boiled, from fresh, peel not eaten, made with butter",1001,"Butter, salted",5
71103040,"Potato, boiled, from fresh, peel not eaten, made with butter",2047,"Salt, table, iodized",0.4
71103040,"Potato, boiled, from fresh, peel not eaten, made with butter",11363,"Potatoes, baked, flesh, without salt",100
