parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
63205600,"Boysenberries, frozen",9057,"Boysenberries, frozen, unsweetened",100
63215600,"Loganberries, frozen",9167,"Loganberries, frozen",100
63219600,"Raspberries, frozen, NS as to added sweetener",9306,"Raspberries, frozen, red, sweetened",100
63219620,"Raspberries, frozen, with sugar",9306,"Raspberries, frozen, red, sweetened",100
63223600,"Strawberries, frozen, NS as to added sweetener",9320,"Strawberries, frozen, sweetened, sliced",100
63223620,"Strawberries, frozen, with sugar",9320,"Strawberries, frozen, sweetened, sliced",100
63311080,"Fruit cocktail or mix, frozen",9057,"Boysenberries, frozen, unsweetened",10
63311080,"Fruit cocktail or mix, frozen",9068,"Cherries, sour, red, frozen, unsweetened",15
63311080,"Fruit cocktail or mix, frozen",9070,"Cherries, sweet, raw",20
63311080,"Fruit cocktail or mix, frozen",9132,"Grapes, red or green (European type, such as Thompson seedless), raw",5
63311080,"Fruit cocktail or mix, frozen",9236,"Peaches, yellow, raw",40
63311080,"Fruit cocktail or mix, frozen",9302,"Raspberries, raw",10
63420100,"Fruit juice bar, frozen, orange flavor",43346,"Frozen novelties, juice type, orange",100
63420110,"Fruit juice bar, frozen, flavor other than orange",19263,"Frozen novelties, fruit and juice bars",100
63420200,"Fruit juice bar, frozen, sweetened with low calorie sweetener, flavors other than orange",43514,"Frozen novelties, ice type, pop, with low calorie sweetener",100
63430500,"Fruit juice bar with cream, frozen",43450,"Frozen novelties, juice type, juice with cream",100
72107202,"Collards, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
72107202,"Collards, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72107202,"Collards, cooked, from frozen, NS as to fat added in cooking",11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",170
72107232,"Collards, cooked, from frozen, made with margarine",2047,"Salt, table",1
72107232,"Collards, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72107232,"Collards, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72107232,"Collards, cooked, from frozen, made with margarine",11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",170
72118202,"Greens, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
72118202,"Greens, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72118202,"Greens, cooked, from frozen, NS as to fat added in cooking",11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",56.61
72118202,"Greens, cooked, from frozen, NS as to fat added in cooking",11236,"Kale, frozen, cooked, boiled, drained, without salt",43.29
72118202,"Greens, cooked, from frozen, NS as to fat added in cooking",11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",54.612
72118230,"Greens, cooked, from frozen, made with oil",2047,"Salt, table",1
72118230,"Greens, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
72118230,"Greens, cooked, from frozen, made with oil",11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",56.661
72118230,"Greens, cooked, from frozen, made with oil",11236,"Kale, frozen, cooked, boiled, drained, without salt",43.329
72118230,"Greens, cooked, from frozen, made with oil",11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",54.661
72118231,"Greens, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
72118231,"Greens, cooked, from frozen, made with butter",2047,"Salt, table",1
72118231,"Greens, cooked, from frozen, made with butter",11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",56.661
72118231,"Greens, cooked, from frozen, made with butter",11236,"Kale, frozen, cooked, boiled, drained, without salt",43.329
72118231,"Greens, cooked, from frozen, made with butter",11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",54.661
72118232,"Greens, cooked, from frozen, made with margarine",2047,"Salt, table",1
72118232,"Greens, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72118232,"Greens, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72118232,"Greens, cooked, from frozen, made with margarine",11162,"Collards, cooked, boiled, drained, without salt",63.327
72118232,"Greens, cooked, from frozen, made with margarine",11236,"Kale, frozen, cooked, boiled, drained, without salt",43.329
72118232,"Greens, cooked, from frozen, made with margarine",11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",54.661
72119202,"Kale, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
72119202,"Kale, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72119202,"Kale, cooked, from frozen, NS as to fat added in cooking",11236,"Kale, frozen, cooked, boiled, drained, without salt",130
72119230,"Kale, cooked, from frozen, made with oil",2047,"Salt, table",1
72119230,"Kale, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
72119230,"Kale, cooked, from frozen, made with oil",11236,"Kale, frozen, cooked, boiled, drained, without salt",130
72119231,"Kale, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
72119231,"Kale, cooked, from frozen, made with butter",2047,"Salt, table",1
72119231,"Kale, cooked, from frozen, made with butter",11236,"Kale, frozen, cooked, boiled, drained, without salt",130
72119232,"Kale, cooked, from frozen, made with margarine",2047,"Salt, table",1
72119232,"Kale, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72119232,"Kale, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72119232,"Kale, cooked, from frozen, made with margarine",11236,"Kale, frozen, cooked, boiled, drained, without salt",130
72122202,"Mustard greens, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
72122202,"Mustard greens, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72122202,"Mustard greens, cooked, from frozen, NS as to fat added in cooking",11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",150
72122230,"Mustard greens, cooked, from frozen, made with oil",2047,"Salt, table",1
72122230,"Mustard greens, cooked, from frozen, made with oil",4322,"Vegetable oil, averaged",4.542
72122230,"Mustard greens, cooked, from frozen, made with oil",11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",150
72122231,"Mustard greens, cooked, from frozen, made with butter",1001,"Butter, salted",4.729
72122231,"Mustard greens, cooked, from frozen, made with butter",2047,"Salt, table",1
72122231,"Mustard greens, cooked, from frozen, made with butter",11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",150
72122232,"Mustard greens, cooked, from frozen, made with margarine",2047,"Salt, table",1
72122232,"Mustard greens, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72122232,"Mustard greens, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72122232,"Mustard greens, cooked, from frozen, made with margarine",11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",150
72125202,"Spinach, cooked, from frozen, NS as to fat added in cooking",2047,"Salt, table",1
72125202,"Spinach, cooked, from frozen, NS as to fat added in cooking",4323,"Table fat, averaged",4.729
72125202,"Spinach, cooked, from frozen, NS as to fat added in cooking",11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",190
72125226,"Spinach, cooked, from frozen, made with margarine",2047,"Salt, table",1
72125226,"Spinach, cooked, from frozen, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
72125226,"Spinach, cooked, from frozen, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
72125226,"Spinach, cooked, from frozen, made with margarine",11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",190
72125232,"Spinach, from frozen, creamed",2047,"Salt, table",0.4
72125232,"Spinach, from frozen, creamed",6166,"Sauce, homemade, white, medium",125
72125232,"Spinach, from frozen, creamed",11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",190
72125252,"Spinach, cooked, from frozen, with cheese sauce",1164,"Cheese sauce, prepared from recipe",80.992
72125252,"Spinach, cooked, from frozen, with cheese sauce",2047,"Salt, table",0.4
72125252,"Spinach, cooked, from frozen, with cheese sauce",11464,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",190
